questionid,author,question,options,answer,concept
14720101,陳佩詒,媽媽一旦離開小宇的視線，小宇便以為媽媽不見了而嚎啕大哭。請問，小宇現在可能處於兒童認知法展的哪個階段？為什麼會有這樣的反應?,"1.感覺動作期；專注現象，只在乎開始與最終狀態，便以為媽媽不見了。,    2.前運思期；專注現象，只在乎開始與最終狀態，便以為媽媽不見了。,    3.感覺動作期；沒有物體恆存概念，看不見就以為媽媽不見了。,    4.前運思期；沒有物體恆存概念，看不見就以為媽媽不見了。,    ",2,物體恆存、感覺動作期
14720102,陳佩詒,就皮亞傑的認知發展論而言，以下言論何者正確？,"1.只要教導方式正確且完整，任何時期的小朋友皆能學會抽象思考,    2.小明學會了8+5=13，且知道13-5=8，因此他已邁向具體運思期,    3.曉華知道小明看到的跟他看到的可能不一樣，表示他已去專注化,    4.每個人的發展時程不一，所以也有可能同時處在兩個發展時期,    ",2,發展連續論、可逆性、具體運思期、自我中心、專注現象
14720103,陳佩詒,爸爸比媽媽高，媽媽比奶奶高，奶奶跟哥哥一樣高。請問，可以知道爸爸比哥哥高的小朋友，可能是下列哪一位？他能夠知道是因為具有什麼能力？,"1.6歲的小明，序列化能力,    2.7歲的小華，可逆,    3.8歲的小美，倒返能力,    4.9歲的小傑，遞移能力,    ",4,遞移、具體運思期
14720104,陳佩詒,小宇遇到鄰居家養的哈士奇，知道他是一隻狗；觀看電視時，看見了野狼，也喊他是狗，經爸爸指證，才知道他是野狼，請問以下言論何者錯誤？,"1.小宇知道哈士奇是一隻狗，是同化,    2.小宇在知道野狼不是狗後，是同化,    3.狗對於小宇而言是腦中既有的基模,    4.小宇在調適後，新舊知識逐漸平衡化,    ",2,基模、同化、調適、適應
14720105,陳佩詒,就皮亞傑的認知發展論而言，小朋友若要學會邏輯思考，必須先經歷哪些時期？,"1.感覺動作期,    2.感覺動作期與前運思期,    3.感覺動作期與具體運思期,    4.感覺動作期、前運思期、具體運思期,    ",4,發展階段論、形式運思期
14720201,陳佩詒,請問以下言論何者錯誤？,"1.兒童習慣與自己對話，以引領自己思考、行動，稱為私自話語。,    2.藉由同儕之間的互助、合作，彼此互相學習，是為合作學習。,    3.合作過程中，彼此藉由聽到彼此的私自話語，進而思考、學習。,    4.近側發展區內的作業是兒童無法獨自完成，但有機會完成的。,    ",3,私自話語、近側發展區、合作學習
14720202,陳佩詒,數學老師為使班上不同程度的學生，皆能學好數學的應用，因此分配小組，讓每一組別皆有成績較好的同學，與成績較差的同學，且每周進行比賽，讓各組成績較差的同學上台解題，答對的同學可為組別加分，答錯的整個小組作業將增加。請問，以下言論何者錯誤？,"1.小組之間互助，是為楷模學習。,    2.成績較好的同學是小組的楷模。,    3.答錯的組別將扣分是為替代學習。,    4.小組間的學習方式為觀察學習。,    ",0,13皆有疑慮
14720203,陳佩詒,允文拜允武為師，以學習武功，每天早上，看著允武演練功法並隨其練習，三年後，允文告別允武，繼續學習武功，一路行俠仗義，結交許多江湖好友。請問，以上言論未提及到觀察學習中的哪個階段？,"1.注意,    2.保留,    3.再生,    4.動機,    ",3,注意、保留、再生、動機
14720204,陳佩詒,語熙喜歡看電影，每當考完試，成績理想時，她便會去電影院好好放鬆，而一旦成績不理想，她便會限制自己一個月不看電影，激勵自己下一次要再更努力。請問，語熙去看電影的行為，是應用到社會學習理論的哪一個觀點？,"1.自我效能,    2.自我增強,    3.後設認知,    4.近側發展區,    ",2,自我增強
14720205,陳佩詒,茉莉是一名教師，若她希望能有效的幫助班上的小朋友學習，以下有哪一項是不建議她執行的呢？,"1.觀察每一位小朋友的ZPD，給予他們不同的作業與試卷。,    2.每一堂課結束後，便要求小朋友將學會的概念寫下來重新審視。,    3.無論小朋友表現好壞與否，皆給予讚美，以避免他失去信心。,    4.將小朋友們各自分組，讓每一組皆成績好與不好的同學，以鼓勵互相學習。,    ",3,近側發展區、合作學習
14720301,陳佩詒,下列關於增強物的介紹，何者正確？,"1.基本需求屬於原級增強物,    2.感受到被認可屬於原級增強物,    3.從事愉悅活動屬於社會增強物,    4.好寶寶貼紙屬於活動增強物,    ",1,原級增強物、次級增強物、活動增強物
14720302,陳佩詒,"小威不喜歡做家事，媽媽表示只要他幫忙，便會給他獎勵，或是他考試滿分，那麼當天他就不必做家事。
請依論述選出正確答案。","1.當小威做家事，媽媽便給予獎勵，屬於負增強,    2.當小威成績優異，可以不必做家事，屬於正增強,    3.媽媽給予的獎勵屬於外在增強物,    4.媽媽給予的獎勵屬於內在增強物,    ",3,正增強、負增強、外在增強物、內在增強物
14720303,陳佩詒,"小華是一名大學生，平日上課，假日上班，每個學期修習27學分，每個月領4000塊薪水，他期許自己可以在四年內修完學分，順利畢業，也期待自己在工作上的認真表現可以獲得認可，為未來就業多一個亮眼成績。
請選擇正確的論述。","1.大學要求的學分屬於不定比例增強,    2.公司不定時距的檢查對小華很有利,    3.公司要求的業績屬於不定比例,    4.公司給予的薪水屬於不定時距,    ",2,固定比例、不定比例、固定時距、不定時距
