questionid,author,question,options,answer,concept
9290101,莊聿萱,5歲的小花認為別人眼中所看到之景物都跟自己眼中的一模一樣。請問小花正處於皮亞傑認知發展論的哪一階段?,"1.形式運思期,    2.前運思期,    3.感覺動作期,    4.具體運思期,    ",2,自我中心、前運思期
9290102,莊聿萱,8歲的花花已能利用字卡上的數字由小而大正確排出順序，根據皮亞傑的認知發展論，此時期的花花還有什麼特徵?,"1.物體恆存,    2.自我中心,    3.反射,    4.邏輯思考,    ",1,序列化、具體運思期
9290103,莊聿萱,媽媽推著正在學習兩輪腳踏車的美美並從旁輔助他。「直到美美的技巧越來越熟練才鬆開雙手」。請問雙引號中的行為是屬於以下何者?,"1.鷹架構築,    2.鷹架撤除,    3.合作學習,    4.合作信任,    ",2,鷹架構築、鷹架撤除
9290104,莊聿萱,百人上課的大教室中，老師先將同學分組，並在每組安排程度較好的同學擔任組長教導其他同學。請問老師使用的方式是下列何者?,"1.前運思期,    2.鷹架構築,    3.近側發展區,    4.私自話語,    ",2,鷹架構築
9290105,莊聿萱,小明擁有抽象思考的能力，請問此時期的他是屬於?,"1.形式運思期,    2.前運思期,    3.感覺動作期,    4.具體運思期,    ",1,形式運思期
9290201,莊聿萱,上英文時，老師為了活動幫私下幫同學分了組別，「並平均將程度較好的同學分散各組帶領其他組員」。請問雙引號內是運用了下列哪一概念?,"1.群體合作,    2.近側發展區,    3.合作學習,    4.認知見習,    ",3,合作學習
9290202,莊聿萱,剛上小一的花花正在學習如何自己綁鞋帶，嬤嬤在一旁一步驟一步驟的教他，「直到他會才停止教學，便在一旁看花花如何自己完成」。請問雙引號內的敘述是屬於下列何者?,"1.自我調整,    2.私自話語,    3.認知學習,    4.鷹架撤除,    ",4,鷹架撤除
9290203,莊聿萱,正值叛逆期的珈珈最近很想搬出家中自己到外面租房子，想要遠離父母接近同儕。請問對於珈珈產生的自我認同對角色混淆是屬於以下哪個理論的?,"1.皮亞傑認知發展論,    2.艾瑞克森社會學習理論,    3.維高斯基認知發展論,    4.皮亞傑道德發展論,    ",,與主題不符
9290204,莊聿萱,公民課時老師擔心同學搞不懂複雜的法律問題，用心準備了許多實例，一步一步的引導學生，建構他們的觀念，並鼓勵大家踴躍發言。請問老師得行為是屬於下列何者?,"1.鷹架撤除,    2.鷹架構築,    3.建構主義,    4.ZPD,    ",2,鷹架撤除、鷹架構築
9290205,莊聿萱,8歲的牟牟對學習有很大的障礙，請問老師可以用甚麼方法幫助他?,"1.用ZPD的概念，請他人從旁指導,    2.一步一度的教導他是使用鷹架撤除的概念,    3.使用自我調整的概念，請人從旁協助他,    4.因為牟牟現為具體運思期，可以教他如何抽象思考,    ",1,近側發展區、鷹架徹除
9290301,莊聿萱,海洋公園裡的訓練員對於表現好的海豚給予小魚吃的獎勵，請問這是屬於下列何者?,"1.呈現型懲罰,    2.撤離型懲罰,    3.正增強,    4.負增強,    ",3,正增強、負增強
9290302,莊聿萱,媽媽說只要小妮在兩小時內乖乖完成每日的回家作業即可得到一個好寶寶貼紙，集滿20點後便可以兌換價值 100元的禮物。請問媽媽的獎勵機制是屬於種增強物?,"1.累積增強物,    2.代幣增強物,    3.社會增強物,    4.活動增強物,    ",2,代幣增強物
9290303,莊聿萱,媽媽對於家中小孩採取不同的教育方法；對於愛運動的姐姐採取不完成作業就只能待在家；對於愛吃的妹妹則採取完成做耶就能得到一包巧克力的策略。請問媽媽所採取的依序是下列哪個選項?,"1.呈現型懲罰，正增強,    2.撤離型懲罰，負增強,    3.呈現型懲罰，負增強,    4.撤離型懲罰，正增強,    ",4,正增強、負增強、撤離型懲罰、呈現型懲罰
9290304,莊聿萱,對於沒寫完作業的小智與小峻老師統一要他們體育課留下來寫完才能去上課，對於好動的小智是極大的威脅，但對於討厭曬太陽的小峻卻是最大的獎勵。請問以下順序何者正確?,"1.無，撤離形懲罰,    2.撤離形懲罰，正增強,    3.無，呈現形懲罰,    4.呈現形懲罰，無,    ",2,正增強、負增強、撤離型懲罰、呈現型懲罰
9290305,莊聿萱,中山附幼的老師讓有記得帶手帕衛生紙的小朋友能有玩娃娃角的時間，沒帶的只能坐在位置上好好反省。請問能玩娃娃角是屬於何種增強物?,"1.活動增強物,    2.代幣增強物,    3.社會增強物,    4.正增強物,    ",1,活動增強物
9290401,莊聿萱,就讀雙語幼稚園的皮皮，早上學了英文字母「b」；下午學習英文字母「d」；回到家複習作業時，發現自己會將兩者搞混。請問皮皮式的狀況是屬於?,"1.初始效應,    2.新近效應,    3.倒攝抑制,    4.順攝抑制,    ",0,
9290402,莊聿萱,懶惰的微微小二時沒有好好的背熟九九乘法表，導致升上中年級後很多數學公式算法無法學好，算的不快也不準。請問為微微的狀況是屬於?,"1.倒攝抑制,    2.倒攝助長,    3.順攝抑制,    4.順攝助長,    ",0,
9290403,莊聿萱,英文教學影片透過歌曲與字幕的方式讓小朋友產生更深刻的印象，請問此方法是應用下列何者?,"1.意元集組,    2.單碼理論,    3.雙碼理論,    4.自動化,    ",3,雙碼理論
9290404,莊聿萱,參加歌唱比賽的樂樂竟然在總決賽時因為太過緊張，忘掉一大半歌詞內容，導致未能保住第一名寶座。請問樂樂會忘記歌詞是因為歌詞尚未進入哪個階段?,"1.長期記憶,    2.短期記憶,    3.工作記憶,    4.處理層次,    ",1,長期記憶 
9290405,莊聿萱,對於複雜的中國朝代史，歷史老師自編了一首朝代歌方便同學們記憶，請問老師的用心是使用了下列何者概念?,"1.使用自動化的方式讓學生朗朗上口,    2.使用長期記憶的方式讓學生忘不掉,    3.使用意元集組的方式編歌詞,    4.使用順攝助長的方式幫助同學記憶,    ",3,意元集組
2000101,柯家媛,請問以下哪個學者提出的理論強調:發展先於學習?,"1.Piaget,    2.Vygotsky,    3.Pavlov,    4.Skinner,    ",1,發展連續論
2000102,柯家媛,"小潔在自然課本裡學到了許多昆蟲的基本知識，有蝴蝶、蜜蜂、鍬形蟲......等。有天老師問全班：「蜘蛛是不是昆蟲？」小潔用迅雷不及掩耳的速度回答：「是！」但老師糾正她答錯了，並解釋昆蟲只有6隻腳。下次，小潔在花盆裡看到蚯蚓，也分辨的出來蚯蚓不是昆蟲。請問這是屬於何種歷程？
","1.同化,    2.調適,    3.糾正,    4.平衡化,    ",2,同化、調適
2000103,柯家媛,大華和小華兄弟倆在數學老師心中都是很優秀的學生。當老師上課教到「A>B且B>C」，大華能馬上反應且告訴老師:「A>C」；當老師上到減法時，小華能比其他同學更快速的回答老師的問題。請問大華及小華各屬於何種認知發展階段?,"1.前運思期；具體運思期,    2.具體運思期；前運思期,    3.具體運思期；具體運思期,    4.形式運思期；前運思期,    ",3,前運思期、序列化、具體運思期、可逆性
2000104,柯家媛,"自然老師要班上的同學學習如何利用石蕊試紙分辨物質的酸鹼。老師拿出一杯檸檬水、一杯鹽酸、一杯肥皂水還有紅色的石蕊試紙。小智先將檸檬水滴到石蕊試紙，發現試紙顏色不會改變；再將鹽酸滴至試紙，也有相同的結果。但當肥皂水滴至試紙時，試紙顏色改變了!所以小智發現，酸性物質不會使紅色石蕊試紙改變顏色，鹼性物質才會。請問，小智的年紀落在何種認知發展階段?
","1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",4,形式運思期、邏輯推理思考
2000105,柯家媛,勤勤和他的妹妹在玩大富翁，途中，勤勤對妹妹說:我用五張10塊跟你換一張100塊好不好?妹妹覺得用一張換五張很划算，就答應了。請問勤勤的妹妹屬於哪個發展階段?,"1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",2,專注現象、前運思期
2000201,柯家媛,數學老師教一群國中資優班的學生微積分，學生們聽得一頭霧水，請問是因為老師忽略了甚麼?,"1.學習者特質,    2.教學方式,    3.學習策略,    4.微積分不在學生們的近側發展區,    ",4,近側發展區
2000202,柯家媛,柯柯教勤勤如何學自由式，「他先教他划手再教打水，最後才教最難的換氣」，請問柯柯是使用維高斯基學習理論中的何種概念?,"1.認知見習,    2.鷹架撤除,    3.合作學習,    4.近側發展區,    ",4,近側發展區
2000203,柯家媛,老師教小美吹法國號，先教他如何吹嘴練習，再教他基本練習，如:點舌、滑音、指法.......等，「最後讓小美自己吹奏一首曲子」。請問括號內，老師是在做何種事情?,"1.鷹架構築,    2.鷹架撤除,    3.合作學習,    4.近側發展區,    ",2,鷹架構築、鷹架撤除
2000204,柯家媛,"柯柯上課都非常認真抄筆記、下課也會勤問問題，老師覺得他學習態度良好，所以跟她說不用考期末考，勤勤見狀也發誓要奮發向上，請問這是屬於?
","1.自我效能,    2.自我增強,    3.楷模學習,    4.替代學習,    ",3,楷模學習
2000205,柯家媛,柯柯和勤勤考試作弊，但只有勤勤被抓，而該科成績以零分計算且被記一支警告，深感警惕，所以柯柯從此不敢作弊。請問勤勤帶給柯柯何種學習效果?,"1.楷模學習,    2.替代學習,    3.後設認知,    4.自我效能,    ",2,替代學習
2000301,柯家媛,勤勤非常討厭數學，但為了能考上好一點的大學必須國英數都有前標。所以每天給自己訂定讀書計畫，先讀最需要花時間思考的數學，再讀最如魚的水的科目—歷史。請問這是利用何種概念?,"1.代替增強物,    2.普力馬原則,    3.負增強,    4.正增強,    ",2,普力馬原則
2000302,柯家媛,著名文學「小王子」裡有提及狐狸被小王子馴養的過程。狐狸認是小王子後，也認得小王子的腳步聲，所以當牠聽見腳步聲會感到愉快；而看見金黃色的小麥會想到金髮的小王子。請問上述行為是屬於何種行為主義理論?,"1.Pavlov的古典制約,    2.Skinner的操作制約,    3.塑造,    4.普力馬原則,    ",1,古典制約、操作制約
2000303,柯家媛,湯豪與交往3年的女友分手，非常傷心。在交往的時候也去過很多地方，但現在只要走到以前一起去過的地方就會觸景傷情、傷心欲絕。請問這是何種行為主義理論?,"1.Skinner的操作制約,    2.Pavlov的古典制約,    3.塑造,    4.長期記憶,    ",2,古典制約、操作制約
