questionid,author,question,options,answer,concept
12730101,陳佳欣陳佳君,柯南總是可以從小細節中推理得出犯人是誰，請問這是因為他處於哪一個認知發展階段?,"1.感覺運動期,    2.前運思期,    3.具體運思期 ,    4.形式運思期,    ",4,具體運思期、形式運思期、邏輯推理
12730102,陳佳欣陳佳君,小名可以依照物體的高度將杯子從低到高進行排列，請問這是因為他具備什麼特性?,"1.遞移能力,    2.序列化,    3.去中心化 ,    4.可逆性,    ",2,序列化
12730103,陳佳欣陳佳君,小遙知道自己的身高比小名高，又得知了小名的身高比小城高，因此得出自己的身高比小城高此件事。請問這是因為他具備什麼特性?,"1.遞移能力,    2.序列化,    3.去中心化,    4.可逆性,    ",1,遞移
12730104,陳佳欣陳佳君,小花加法能力很好，每次小考都考100分，於是爸爸想要教她減法的運算，然而小花卻怎麼學都無法學會減法，媽媽看到這個情況後，便跟爸爸說：「因為小花的認知能力還沒發展到下一個階段，因此才不會減法的運算。」請問根據上述情境，小花屬於哪個時期?<br />,"1.感覺運動期,    2.前運思期 ,    3.具體運思期,    4. 形式運思期,    ",2,可逆、前運思期、具體運思期
12730105,陳佳欣陳佳君,請問以下哪一位學生處於具體運思期的階段?,"1.老師問步美5+15等於多少，步美回答20，接著老師問20-15等於多少，步美卻搖頭說她不知道,    2.老師將12個小磁鐵排長A、B兩列，兩列都放6個磁鐵，但是A列排列的長度比B列長，接著問元太哪一列磁鐵數目比較多，元太回答A列磁鐵數目比B列多,    3.柯南從犯案手槍中發現槍頭留有少量A牌的睫毛膏，因此推知犯人是常使用A牌睫毛膏的樹里小姐 ,    4.光彥喜歡將鉛筆依照長短依序排列在鉛筆盒裡,    ",4,具體運思期、可逆、專注現象、邏輯推理、序列化
12730106,陳佳欣陳佳君,今天的教育心理學課程在學習皮亞傑的認知發展理論，老師在講解完適應、同化與調適後，讓學生回答這三個名詞的定義，請問下列哪一位學生的回答是錯誤的？,"1.小尚：「調適的歷程包含不斷的同化與適應，經歷一次又一次調適的歷程後，個體會對於新的刺激擁有預測及控制的能力。」,    2.小琴：「調適是當既有的認知結構無法有效因應環境要求時，個體就會改變既有認知結構或基模來符合環境要求，進而保持平衡的歷程。」,    3.小美：「同化是指個體以既有的基模或認知結構為基礎去吸收新經驗的歷程。」,    4.小柳：「適應是指個體為了讓內在認知與外在環境保持平衡而不斷改變的歷程。」,    ",1,適應、同化、調適
12730107,陳佳欣陳佳君,小明是個認真求學的學生，在課堂中總是會認真地抄筆記，但因為老師講課的速度太快了，讓他有點跟不上老師的速度，因此在「基模」這個主題中寫錯了一句話。以下是小明的筆記，請問哪一段敘述是錯誤的呢？,"1.基模是個體用來認識周圍世界的基本模式,    2.此模式是由個體天生具有的經驗、意識、概念等構成一個與外界現實世界相對應的抽象認知架構,    3.它是存在人腦海中的認知架構，包含了我們對外在世界的概念、這些概念的屬性，以及這些屬性之間的關係,    4.但基模有個缺點是它可能會引起刻板印象,    ",0,基模
12730108,陳佳欣陳佳君,老師在課堂中講解皮亞傑提出的四個階段，老師講解完後發現大雄竟然在睡覺，因此請他起來將剛剛老師所講的內容再講一次。以下是大雄的回答，請問哪一個敘述是正確的？,"1.感覺動作期的小孩已經可以使用語言及符號來表徵外在的事物,    2.具體運思期的小孩已經開始會類推，並且有邏輯思維和抽象思維的能力,    3.這四個階段的發展順序不變，最終都會達到形式運思期的階段,    4.每個階段之間只有量的差異，沒有質的差異,    ",3,符號表徵、感覺動作期、前運思期、具體運思期
12730109,陳佳欣陳佳君,小明的弟弟今年5歲，正處於皮亞傑四階段中的前運思期階段，請問小明應該如何與弟弟相處比較適合呢？,"1.玩完學習英文字母的字母卡後，請弟弟依照英文字母順序作排列，將字母卡整理好,    2.幫弟弟倒果汁時，使用同一種形狀、容量的杯子,    3.小明教導弟弟加法運算後，便要求弟弟做減法運算的題目,    4.小明和弟弟看完《海底總動員》後，想跟弟弟討論什麼是「父愛」,    ",2,序列化、專注現象、可逆、抽象思考、前運思期
12730110,陳佳欣陳佳君,今年10歲的小桃，正處於皮亞傑四階段中的具運思期階段，老師在教導這個階段的小孩時，比較不適合教哪個東西呢？,"1.請小桃做好正確的垃圾分類,    2.請小桃上台解釋水的量並不會因為倒在不同形狀的容器而有所改變,    3.請小桃練習華氏溫度與攝氏溫度的運算,    4.請小桃練習假設性的題目,    ",4,專注現象、問題解決、假設性問題
