questionid,author,question,options,answer,concept
12090101,蔡聿晽,在皮亞傑提出的認知發展階段論裡，兒童思考具可逆性，有遞移的能力。請問他處於何種階段？,"1.前運思期,    2.具體運思期,    3.形式運思期,    4.形體運思期,    ",2,具體運思期
12090102,蔡聿晽,媽媽正在教泡泡跟哥哥做蛋糕，因為要攪拌的麵糊很多，於是媽媽各拿了一個寬且淺的碗給泡泡、一個一樣容量但開口較窄容量較深的碗給哥哥，請他們幫忙攪拌，但這時泡泡卻鬧彆扭說著不公平為什麼給哥哥的比較多。請問，泡泡現在是處於認知發展階段論的哪一階段？又是因為什麼原因這樣覺得？,"1.形式運思期，專注單一現象,    2.前運思期，專注單一現象,    3.形式運思期，思考不可逆,    4.前運思期，思考不可逆,    ",2,前運思期、專注現象
12090103,蔡聿晽,肯尼跟爸爸去動物園，看到鴨子時肯尼興奮的跟爸爸說：爸爸你看是鴨子！後來走到湖邊，肯尼又跟爸爸說：爸爸你看是鴨子！於是爸爸便解釋說：肯尼，那不是鴨子是天鵝哦～你看他有漂亮的白色羽毛，游泳的姿勢也很優雅吧！在爸爸跟肯尼解釋之後，肯尼就變得會分辨鴨子跟天鵝的不同了。請問，肯尼經歷了什麼樣的心境變化呢？,"1.調節,    2.適應,    3.同化,    4.調適,    ",4,同化、調適
12090104,蔡聿晽,媽媽在跟花花玩，媽媽突然躲到椅子底下，花花便大哭起來以為媽媽消失了。請問，花花目前處於認知發展階段論的什麼階段？,"1.形式運思期,    2.具體運思期,    3.前運思期,    4.感覺動作期,    ",4,物體恆存、感覺動作期
12090105,蔡聿晽,小桃處於認知發展階段論的前運思期，請問有哪些是她能做到的？,"1.將筷子依長到短排列好,    2.會1+1=2但不會2-1=1,    3.抽象思考發生的事情,    4.可以推斷A>B，B>C所以A>C,    ",2,前運思期、序列化、遞移、不可逆
12090201,蔡聿晽,美術老師在課堂上一個步驟一個步驟示範怎麼用黏土做出可愛的青蛙，在每個步驟示範完後都讓大家練習。請問老師現在正在執行學生觀察學習的哪個部分？,"1.注意,    2.動機,    3.保留,    4.再生,    ",3,保留、再生
12090202,蔡聿晽,"琳琳最近接了一個家教草仔粿弟弟，她想在開始教學之前先瞭解草仔粿的學習及課堂理解狀況，於是想出一份有關社會學習理論裡「後設認知」的問卷給他。請問，要怎麼樣才能分辨出草仔粿是否具備「後設認知」的能力呢？
A他知道自己在學校上課時的理解程度
B課堂結束之後他能理解所有課堂所學
C課後他會預習下次課堂之內容
D他知道何時採用什麼樣的策略來解決問題","1.AD,    2.AC,    3.BC,    4.CD,    ",1,後設認知
12090203,蔡聿晽,兔兔看見河童在課堂上表現得很好常常被老師稱讚，考試也都考很高，兔兔覺得自己也要像河童一樣優秀，也想像河童一樣被老師稱讚，於是決定開始努力用功。請問兔兔為什麼這樣呢？,"1.替代學習,    2.楷模學習,    3.觀察學習,    4.後設認知,    ",2,楷模學習
12090204,蔡聿晽,媽媽請興哲教弟弟騎腳踏車，剛開始興哲先帶弟弟騎有輔助輪的腳踏車，弟弟比較熟練之後興哲便讓弟弟騎一般的2輪腳踏車，且先邊扶著邊讓弟弟騎開始，才慢慢鬆手讓弟弟自己騎。請問，興哲是用什麼方法教導弟弟騎腳踏車？,"1.運用近側發展區ZPD的概念教導,    2.運用弟弟基模形成的歷程,    3.運用鷹架架設及拆除的方法教導,    4.運用皮亞傑的認知發展階段論的概念教導,    ",3,鷹架撤除、鷹架構築
12090205,蔡聿晽,園長出了一個任務要給向日葵小班的小朋友們完成，這個任務對他們自己完成來說有點難，所以園長先讓小朋友們分組團隊合作，且在旁觀察大家並適時協助。請問，小朋友們能完成任務嗎？園長又是運用教育心理學的什麼手法讓大家進行任務的？,"1.可以，運用小朋友的近側發展區間,    2.可以，運用團隊楷模學習的概念,    3.不能，小朋友的自我調整學習還不夠成熟,    4.不能，小朋友楷模學習的觀念不足,    ",0,題意需要再更清楚些
12090301,蔡聿晽,老師使用好寶寶貼紙當作獎勵，用貼紙可以兌換老師準備的小禮物。請問，老師使用的是何種增強物？,"1.社會增強物,    2.活動增強物,    3.代幣增強物,    4.內在增強物,    ",3,代幣增強物
12090302,蔡聿晽,媽媽告訴嚕嚕咪，「如果你在7點以前認真寫完作業，爸爸就帶你去吃大餐」，「如果超過9點還沒完成的話，就沒收阿嬤今天給你的點心」請問引號中媽媽各是用什麼方法來讓嚕嚕咪好好寫作業？,"1.次級增強物 / 負增強,    2.原級增強物 / 撤離型懲罰,    3.內在增強物 / 撤離型懲罰,    4.正增強 / 呈現型懲罰,    ",0,
12090303,蔡聿晽,下列何者為「普力馬原則」的解釋？,"1.是一種制約反應,    2.一種正增強的概念。例如跟小孩說：如果你今天自己洗自己的襪子，明天就給你一塊餅乾吃。,    3.又稱為「老祖母法則」，是一種負增強的概念。例如跟小孩說：如果你乖乖寫作業，今天就可以不用洗碗。,    4.是一種外在增強物,    ",0,
12090304,蔡聿晽,小精靈班的同學們到海生館參觀，老師帶他們到表演館看海獅與訓練員的表演，當訓練員一舉手海獅便會開始唱歌，大家都覺得很神奇，因為不是訓練員舉手而是換成主持人的話海獅就不會唱歌。後來姆嚕發現，每當海獅做完一個動作訓練員就給他一條魚獎勵他，請問訓練員是用何種方法訓練海豚一看到舉手就唱歌呢？,"1.內在增強,    2.普力馬原則,    3.操作制約,    4.古典制約,    ",3,古典制約、操作制約
12090305,蔡聿晽,老師跟大家說：「如果你們按時交作業，我就會每次交完作業就隨機抽20個人送小禮物。如果沒有按時交或沒交的話，就錯失機會囉！」於是班上的大家為了得到小禮物所以每次都有按時交作業，久而久之認真寫完作業並且按時交就成了大家的習慣了。請問，老師使用的是何種增強機制呢？,"1.固定比例,    2.不定比例,    3.固定時距,    4.不定時距,    ",0,
12090401,蔡聿晽,在學習時，比起看全部都是文字的書，有畫面、有聲音的教學影片更能幫助人記憶及理解。請問這個學習方法驗證了什麼說法或理論？,"1.感官記憶,    2.雙碼理論,    3.自動化,    4.程序性記憶,    ",2,雙碼理論
