questionid,author,question,options,answer,concept
12730101,陳佳欣陳佳君,柯南總是可以從小細節中推理得出犯人是誰，請問這是因為他處於哪一個認知發展階段?,"1.感覺運動期,    2.前運思期,    3.具體運思期 ,    4.形式運思期,    ",4,具體運思期、形式運思期、邏輯推理
12730102,陳佳欣陳佳君,小名可以依照物體的高度將杯子從低到高進行排列，請問這是因為他具備什麼特性?,"1.遞移能力,    2.序列化,    3.去中心化 ,    4.可逆性,    ",2,序列化
12730103,陳佳欣陳佳君,小遙知道自己的身高比小名高，又得知了小名的身高比小城高，因此得出自己的身高比小城高此件事。請問這是因為他具備什麼特性?,"1.遞移能力,    2.序列化,    3.去中心化,    4.可逆性,    ",1,遞移
12730104,陳佳欣陳佳君,"小花加法能力很好，每次小考都考100分，於是爸爸想要教她減法的運算，然而小花卻怎麼學都無法學會減法，媽媽看到這個情況後，便跟爸爸說：「因為小花的認知能力還沒發展到下一個階段，因此才不會減法的運算。」請問根據上述情境，小花屬於哪個時期?<br />
","1.感覺運動期,    2.前運思期 ,    3.具體運思期,    4. 形式運思期,    ",2,可逆、前運思期、具體運思期
12730105,陳佳欣陳佳君,請問以下哪一位學生處於具體運思期的階段?,"1.老師問步美5+15等於多少，步美回答20，接著老師問20-15等於多少，步美卻搖頭說她不知道,    2.老師將12個小磁鐵排長A、B兩列，兩列都放6個磁鐵，但是A列排列的長度比B列長，接著問元太哪一列磁鐵數目比較多，元太回答A列磁鐵數目比B列多,    3.柯南從犯案手槍中發現槍頭留有少量A牌的睫毛膏，因此推知犯人是常使用A牌睫毛膏的樹里小姐 ,    4.光彥喜歡將鉛筆依照長短依序排列在鉛筆盒裡,    ",4,具體運思期、可逆、專注現象、邏輯推理、序列化
12730201,陳佳欣陳佳君,請問班杜拉提出的觀察學習的四階段依序為何?,"1.動機→注意→保持→再生,    2.注意→動機→保持→再生,    3.注意→保持→動機→再生,    4.注意→保持→再生→動機,    ",4,觀察學習四階段
12730202,陳佳欣陳佳君,班杜拉對自律行為提出三階段歷程理論，以下何者非此理論的概念?,"1.自我觀察,    2.自我評價,    3.自我強化,    4.自我認同,    ",4,自律階段、自我觀察、自我評價、自我強化  
12730203,陳佳欣陳佳君,Vygotsky提出一個理論指出教師可以利用各種介入的方式幫助孩子發展，以使孩子能從旁人給予協助的表現進步到能自己獨立完成任務。請問他提出的這個理論的英文為何?,"1.zone of promotable development,    2.zone of processible development,    3.zone of proximal development,    4.zone of improvable development,    ",3,zone of proximal development
12730204,陳佳欣陳佳君,社會學習論中有四種不同的模仿方式，請問學習者楷模多人的行為而形成  自己的行為是屬於哪一種楷模方式?,"1.直接模仿,    2.綜合模仿,    3.抽象模仿,    4.象徵模仿,    ",2,綜合模仿
12730205,陳佳欣陳佳君,以下對於社會學習理論的描述何者「錯誤」?,"1.班杜拉是提出社會學習理論的學者,    2.社會學習理論認為人類的學習是個人與社會環境持續交互作用的歷程,    3.社會學習理論認為單是環境因素便能決定人的學習行為,    4.社會學習理論認為一連串的學習活動，所涉及的刺激反應都是社會性的，而這種學習又是個體習得社會行為的主要途徑,    ",3,三元論(環境、個人、行為)
